,codeset_id,concept_id,concept_set_name,is_most_recent_version,version,concept_name,archived
14383,535274723,435485,Charlson - Cancer,True,1,Primary malignant neoplasm of ill-defined site,False
14473,535274723,435751,Charlson - Cancer,True,1,Primary malignant neoplasm of fundus of stomach,False
14942,535274723,436923,Charlson - Cancer,True,1,Primary malignant neoplasm of urinary bladder neck,False
15417,535274723,438086,Charlson - Cancer,True,1,Primary malignant neoplasm of parietal lobe,False
15573,535274723,438370,Charlson - Cancer,True,1,Primary malignant neoplasm of glans penis,False
15787,535274723,438692,Charlson - Cancer,True,1,Primary malignant neoplasm of lateral wall of nasopharynx,False
15860,535274723,438698,Charlson - Cancer,True,1,"Malignant lymphoma of lymph nodes of head, face AND/OR neck",False
16152,535274723,439266,Charlson - Cancer,True,1,Sézary's disease of lymph nodes of inguinal region and lower limb,False
16248,535274723,439285,Charlson - Cancer,True,1,"Hodgkin's disease, lymphocytic depletion of intra-abdominal lymph nodes",False
16309,535274723,439293,Charlson - Cancer,True,1,Burkitt's lymphoma of spleen,False
16795,535274723,440047,Charlson - Cancer,True,1,Primary malignant neoplasm of tonsillar pillar,False
17010,535274723,440335,Charlson - Cancer,True,1,Primary malignant neoplasm of lower gum,False
17355,535274723,440965,Charlson - Cancer,True,1,Hodgkin's disease of intrathoracic lymph nodes,False
17530,535274723,441223,Charlson - Cancer,True,1,Primary malignant neoplasm of superior wall of nasopharynx,False
17762,535274723,441805,Charlson - Cancer,True,1,Primary malignant neoplasm of endocervix,False
17824,535274723,441806,Charlson - Cancer,True,1,Primary malignant neoplasm of brain stem,False
18162,514953976,442125,Charlson - Pulmonary,True,1,Pneumoconiosis due to silica,False
18781,378462283,443252,Charlson - Mets,True,1,Post-transplant neoplasia,False
18855,535274723,443380,Charlson - Cancer,True,1,Malignant tumor of thymus,False
19106,652711186,443454,Charlson - Stroke,True,1,Cerebral infarction,False
19145,652711186,443525,Charlson - Stroke,True,1,Monoplegia of dominant upper limb as a late effect of cerebrovascular accident,False
19188,220495690,443611,Charlson - Renal,True,1,Chronic kidney disease stage 5,False
20266,359043664,444101,Charlson - CHF,True,1,Hypertensive heart failure,False
20416,535274723,444203,Charlson - Cancer,True,1,Primary malignant neoplasm of articular cartilage,False
21992,697105949,595835,[ISC] COVID-19 Vaccinations,False,1,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension [Comirnaty]",False
21996,697105949,596880,[ISC] COVID-19 Vaccinations,False,1,Pfizer (Pfizer-BioNTech),False
22001,697105949,596882,[ISC] COVID-19 Vaccinations,False,1,Moderna,False
22031,697105949,600699,[ISC] COVID-19 Vaccinations,False,1,Administration of second dose SARS-CoV-2 non-replicating viral vector vaccine,False
22033,697105949,600701,[ISC] COVID-19 Vaccinations,False,1,Administration of second dose of inactivated whole SARS-CoV-2 antigen vaccine,False
23835,697105949,602372,[ISC] COVID-19 Vaccinations,False,1,Comirnaty COVID-19 mRNA Vaccine 30micrograms/0.3ml dose concentrate for dispersion for injection multidose vials (Pfizer Ltd) 1170 dose 195 x 6 dose vials,False
23838,697105949,602379,[ISC] COVID-19 Vaccinations,False,1,Generic COVID-19 Vaccine Janssen (Ad26.COV2-S [recombinant]) 0.5ml dose suspension for injection multidose vials 50 dose,False
23840,697105949,602380,[ISC] COVID-19 Vaccinations,False,1,COVID-19 Vaccine Janssen (Ad26.COV2-S [recombinant]) 0.5ml dose suspension for injection multidose vials (Janssen-Cilag Ltd),False
23841,697105949,602393,[ISC] COVID-19 Vaccinations,False,1,Generic Spikevax COVID-19 mRNA (nucleoside modified) Vaccine 0.1mg/0.5ml dose dispersion for injection multidose vials,False
30238,697105949,702664,[ISC] COVID-19 Vaccinations,False,1,"SARS-COV-2 COVID-19 Non-US Vaccine, Specific Product Unknown",False
30241,697105949,702665,[ISC] COVID-19 Vaccinations,False,1,SARS-COV-2 COVID-19 Inactivated Virus Non-US Vaccine Product (QAZCOVID-IN),False
30244,697105949,702668,[ISC] COVID-19 Vaccinations,False,1,SARS-COV-2 COVID-19 Viral Vector Non-replicating Non-US Vaccine Product (Sputnik V),False
30247,697105949,702680,[ISC] COVID-19 Vaccinations,False,1,SARS-COV-2 COVID-19 Live Attenuated Virus Non-US Vaccine Product (COVIVAC),False
31175,697105949,739904,[ISC] COVID-19 Vaccinations,False,1,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating Injectable Product",False
31682,697105949,759430,[ISC] COVID-19 Vaccinations,False,1,Pfizer-BioNTech Covid-19 Vaccine (Ready to Use) Administration - First dose,False
31685,697105949,759431,[ISC] COVID-19 Vaccinations,False,1,Pfizer-BioNTech Covid-19 Vaccine (Ready to Use) Administration - Second dose,False
31688,697105949,759434,[ISC] COVID-19 Vaccinations,False,1,Pfizer-BioNTech Covid-19 Vaccine Administration - Booster,False
31692,697105949,759435,[ISC] COVID-19 Vaccinations,False,1,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 100 mcg/0.5 mL dosage; third dose",False
31695,697105949,759450,[ISC] COVID-19 Vaccinations,False,1,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 10 mcg/0.2 mL dosage, diluent reconstituted, tr...",False
31697,697105949,759451,[ISC] COVID-19 Vaccinations,False,1,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 10 mcg/0.2 mL dosage, diluent reconstituted, tr...",False
31698,697105949,759453,[ISC] COVID-19 Vaccinations,False,1,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 3 mcg/0.2 mL dosage, diluent reconstituted, tri...",False
31700,697105949,759462,[ISC] COVID-19 Vaccinations,False,1,"Administration of coronavirus vaccine 11, booster (Deprecated)",False
31706,697105949,759694,[ISC] COVID-19 Vaccinations,False,1,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, preservative free, 3 mcg/0.2 mL dosage, diluent reconstituted, tris-sucrose formulation, for intramuscular use",False
31707,697105949,759735,[ISC] COVID-19 Vaccinations,False,1,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, recombinant spike protein nanoparticle, saponin-based adjuvant, preservative free, 5 mcg/0.5 mL dosage, for intramuscular use",False
35785,618758765,765576,N3C Mechanical Ventilation,True,1,Orotracheal intubation using bougie device,False
35851,697105949,766240,[ISC] COVID-19 Vaccinations,False,1,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, DNA, spike protein, chimpanzee adenovirus Oxford 1 (ChAdOx1) vector, preservative free, 5x1010 viral particles/0.5 mL dosage, for intramuscular use",False
36011,697105949,777312,[ISC] COVID-19 Vaccinations,False,1,"Immunization administration by intramuscular injection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, spike protein, bivalent, preservative free, 25 mcg/0.25 mL dosage, booster dose",False
36014,697105949,777323,[ISC] COVID-19 Vaccinations,False,1,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) vaccine, mRNA-LNP, bivalent spike protein, preservative free, 10 mcg/0.2 mL dosage, diluent reconstituted, tris-sucrose formulation, for intramuscular use",False
36015,697105949,778259,[ISC] COVID-19 Vaccinations,False,1,"SARS-COV-2 COVID-19 Virus Like Particle (VLP) Non-US Vaccine Product (Medicago, Covifenz)",False
36017,697105949,778263,[ISC] COVID-19 Vaccinations,False,1,"SARS-COV-2 COVID-19 Inactivated Non-US Vaccine Product (Minhai Biotechnology Co, KCONVAC)",False
40012,38048732,994802,Baricitinib,True,1,baricitinib 2 MG Oral Tablet [Olumiant] by Kohlpharma,False
42263,697105949,1230963,[ISC] COVID-19 Vaccinations,False,1,"Janssen COVID-19 vaccine, DNA, spike protein, adenovirus type 26 (Ad26) vector, preservative free, 5x1010 viral particles/0.5mL dosage, for intramuscular use",False
46114,697105949,1525545,[ISC] COVID-19 Vaccinations,False,1,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.05 MG/ML / SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 OMICRON (BA.4/BA.5) 0.05 MG/ML Injection",False
54907,697105949,1759202,[ISC] COVID-19 Vaccinations,False,1,Comirnaty,False
54913,487953007,1759259,[RHDT] Bebtelovimab,False,1,2 ML bebtelovimab 87.5 MG/ML Injection,False
55113,697105949,1779550,[ISC] COVID-19 Vaccinations,False,1,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.05 MG/ML Injectable Suspension",False
55428,697105949,1799762,[ISC] COVID-19 Vaccinations,False,1,"bnt162b2 40ug/2.6mL INTRAMUSCULAR INJECTION, SUSPENSION",False
56301,697105949,1984850,[ISC] COVID-19 Vaccinations,False,1,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.1 MG/ML Injectable Suspension",False
56387,697105949,1994903,[ISC] COVID-19 Vaccinations,False,1,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension [Spikevax]",False
82006,618758765,2314035,N3C Mechanical Ventilation,True,1,"Continuous positive airway pressure ventilation (CPAP), initiation and management",False
90135,618758765,2788016,N3C Mechanical Ventilation,True,1,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Continuous Negative Airway Pressure",False
90154,618758765,2788019,N3C Mechanical Ventilation,True,1,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Continuous Positive Airway Pressure",False
116094,535274723,4003028,Charlson - Cancer,True,1,Primary malignant neoplasm of descended testis,False
116104,535274723,4003029,Charlson - Cancer,True,1,Overlapping malignant neoplasm of vulva,False
118176,719585646,4008576,Charlson - DM,True,1,Diabetes mellitus without complication,False
123719,719585646,4032787,Charlson - DM,True,1,Hyperosmolarity,False
124886,535274723,4038838,Charlson - Cancer,True,1,Non-Hodgkin's lymphoma (clinical),False
124992,535274723,4038846,Charlson - Cancer,True,1,"Langerhans cell histiocytosis, disseminated (clinical)",False
125316,535274723,4041799,Charlson - Cancer,True,1,Sezary's disease,False
125510,719585646,4042502,Charlson - DM,True,1,Disease of mouth,False
125773,652711186,4043731,Charlson - Stroke,True,1,Infarction - precerebral,False
126315,403438288,4044391,Charlson - DMcx,True,1,Neuropathy due to diabetes mellitus,False
126564,652711186,4045737,Charlson - Stroke,True,1,Pure motor lacunar infarction,False
126639,652711186,4045738,Charlson - Stroke,True,1,Pure sensory lacunar infarction,False
126713,652711186,4045749,Charlson - Stroke,True,1,Cerebral amyloid angiopathy,False
130061,618758765,4055375,N3C Mechanical Ventilation,True,1,Assisted controlled mandatory ventilation,False
130346,220495690,4056462,Charlson - Renal,True,1,Chronic mesangial proliferative glomerulonephritis,False
130414,220495690,4056480,Charlson - Renal,True,1,"Chronic nephritic syndrome, diffuse crescentic glomerulonephritis",False
130935,220495690,4059463,Charlson - Renal,True,1,"Chronic nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",False
133142,618758765,4072519,N3C Mechanical Ventilation,True,1,Positive end expiratory pressure reduced,False
133167,618758765,4072521,N3C Mechanical Ventilation,True,1,NEEP increased - Negative end expiratory pressure increased,False
133175,618758765,4072522,N3C Mechanical Ventilation,True,1,Positive end expiratory pressure increased to optimal PEEP,False
133334,618758765,4074667,N3C Mechanical Ventilation,True,1,Fluorocarbon ventilation,False
135391,618758765,4085542,N3C Mechanical Ventilation,True,1,Cuirasse ventilation,False
136472,535274723,4091486,Charlson - Cancer,True,1,Malignant neoplasm of overlapping lesion of urinary organs,False
138412,535274723,4095168,Charlson - Cancer,True,1,"Malignant neoplasm, overlapping lesion of bladder",False
139859,535274723,4098597,Charlson - Cancer,True,1,Waldenström macroglobulinemia,False
140195,719585646,4099214,Charlson - DM,True,1,Type 1 diabetes mellitus with ulcer,False
141574,510748896,4101870,Charlson - PUD,True,1,Chronic gastrojejunal ulcer with perforation,False
143765,259495957,4108217,Charlson - MI,True,1,Subsequent myocardial infarction,False
145023,652711186,4110186,Charlson - Stroke,True,1,"Intracerebral hemorrhage, multiple localized",False
145042,652711186,4110195,Charlson - Stroke,True,1,Posterior cerebral artery syndrome,False
155117,376881697,4134603,Charlson - PVD,True,1,Vascular disorder of intestine,False
158436,489555336,4144328,Charlson - Paralysis,True,1,Monoplegia of lower limb affecting dominant side,False
159879,510748896,4146517,Charlson - PUD,True,1,Chronic peptic ulcer with perforation,False
160125,220495690,4146996,Charlson - Renal,True,1,Mesangial proliferative glomerulonephritis,False
160264,510748896,4147683,Charlson - PUD,True,1,Acute gastrojejunal ulcer without hemorrhage AND without perforation,False
160772,535274723,4149851,Charlson - Cancer,True,1,Malignant melanoma of upper limb,False
162946,535274723,4155171,Charlson - Cancer,True,1,Primary malignant neoplasm of lip,False
163521,378462283,4158910,Charlson - Mets,True,1,Secondary malignant neoplasm of unknown site,False
164277,535274723,4162859,Charlson - Cancer,True,1,Primary malignant neoplasm of adrenal medulla,False
164505,359043664,4163710,Charlson - CHF,True,1,Dilated cardiomyopathy,False
167024,510748896,4173408,Charlson - PUD,True,1,Chronic duodenal ulcer with perforation,False
167213,535274723,4173963,Charlson - Cancer,True,1,B-cell acute lymphoblastic leukemia,False
173053,403438288,4191611,Charlson - DMcx,True,1,Lumbosacral radiculoplexus neuropathy due to diabetes mellitus,False
180381,618758765,4219858,N3C Mechanical Ventilation,True,1,Problem with patient ventilator,False
183306,719585646,4228112,Charlson - DM,True,1,Hypoglycemic coma due to type 1 diabetes mellitus,False
183721,359043664,4229440,Charlson - CHF,True,1,Chronic congestive heart failure,False
184956,618758765,4235361,N3C Mechanical Ventilation,True,1,Hyperventilation therapy for traumatic brain injury,False
185060,697105949,4236188,[ISC] COVID-19 Vaccinations,False,1,Coronavirus vaccination,False
185224,618758765,4236738,N3C Mechanical Ventilation,True,1,Volume controlled ventilation,False
185521,494981955,4238978,Charlson - LiverMild,True,1,Chronic lobular hepatitis,False
187730,618758765,4244053,N3C Mechanical Ventilation,True,1,Bennett respirator therapy,False
189851,535274723,4246802,Charlson - Cancer,True,1,Primary malignant neoplasm of bone of skull,False
190053,510748896,4247008,Charlson - PUD,True,1,Chronic peptic ulcer with hemorrhage AND perforation,False
191922,618758765,4251737,N3C Mechanical Ventilation,True,1,Ventilator care management,False
194951,220495690,4284491,Charlson - Renal,True,1,Diffuse endocapillary proliferative glomerulonephritis,False
195290,514953976,4286497,Charlson - Pulmonary,True,1,Centriacinar emphysema,False
195430,618758765,4287921,N3C Mechanical Ventilation,True,1,Retrograde intubation,False
196155,510748896,4289830,Charlson - PUD,True,1,Chronic duodenal ulcer with hemorrhage AND perforation,False
197509,510748896,4296611,Charlson - PUD,True,1,Chronic gastric ulcer without hemorrhage AND without perforation,False
199406,535274723,4300704,Charlson - Cancer,True,1,Diffuse large B-cell lymphoma (nodal/systemic with skin involvement),False
199861,618758765,4301549,N3C Mechanical Ventilation,True,1,Ventilator care and adjustment,False
205870,376881697,4316222,Charlson - PVD,True,1,Venous intermittent claudication,False
207725,618758765,4327886,N3C Mechanical Ventilation,True,1,Dependence on biphasic positive airway pressure ventilation,False
208751,618758765,4331311,N3C Mechanical Ventilation,True,1,Changing tracheostomy tube,False
209443,618758765,4335583,N3C Mechanical Ventilation,True,1,Tracheal intubation using rigid bronchoscope,False
209607,618758765,4337045,N3C Mechanical Ventilation,True,1,Blind nasal intubation,False
209790,618758765,4337618,N3C Mechanical Ventilation,True,1,Cricothyroidotomy tube insertion,False
210131,494981955,4340383,Charlson - LiverMild,True,1,Alcoholic hepatitis,False
210928,652711186,4353709,Charlson - Stroke,True,1,Intracerebral vascular finding,False
328913,96369749,35896637,Remdesivir (Injection route of admin; 5 mg minimum dosage),True,1,20 ML remdesivir 5 MG/ML Injectable Solution [Veklury] Box of 1,False
328989,96369749,35896884,Remdesivir (Injection route of admin; 5 mg minimum dosage),True,1,remdesivir 5 MG/ML Injectable Solution [Veklury],False
332409,96369749,36054865,Remdesivir (Injection route of admin; 5 mg minimum dosage),True,1,20 ML remdesivir 5 MG/ML Injectable Solution Box of 1 by Gilead,False
332431,96369749,36054912,Remdesivir (Injection route of admin; 5 mg minimum dosage),True,1,20 ML remdesivir 5 MG/ML Injectable Solution [Veklury] by Gilead,False
332436,96369749,36054913,Remdesivir (Injection route of admin; 5 mg minimum dosage),True,1,20 ML remdesivir 5 MG/ML Injectable Solution [Veklury],False
333452,96369749,36057810,Remdesivir (Injection route of admin; 5 mg minimum dosage),True,1,remdesivir 100 MG Injection Box of 1 by Gilead,False
333469,96369749,36057816,Remdesivir (Injection route of admin; 5 mg minimum dosage),True,1,remdesivir 100 MG Injection [Veklury],False
333480,96369749,36057820,Remdesivir (Injection route of admin; 5 mg minimum dosage),True,1,remdesivir 100 MG Injectable Solution by Gilead,False
333488,96369749,36057825,Remdesivir (Injection route of admin; 5 mg minimum dosage),True,1,remdesivir 100 MG Injectable Solution [Veklury],False
337884,96369749,36074073,Remdesivir (Injection route of admin; 5 mg minimum dosage),True,1,remdesivir 5 MG/ML Injectable Solution Box of 1,False
360700,697105949,36371349,[ISC] COVID-19 Vaccinations,False,1,"MODERNA COVID-19 VACCINE - cx-024414 injection, suspension",False
361083,697105949,36398506,[ISC] COVID-19 Vaccinations,False,1,"SARS-CoV-2 (COVID-19) vaccine, protein NVX-CoV2373 0.01 MG/ML Injectable Suspension",False
365878,339287218,36501120,paxlovid,False,1,ritonavir 100 MG Oral Tablet,False
365969,38048732,36503766,Baricitinib,True,1,baricitinib 2 MG Delayed Release Oral Tablet [Olumiant] by Cc,False
366327,38048732,36506007,Baricitinib,True,1,baricitinib 2 MG Oral Tablet [Olumiant] by Paranova Pack,False
366732,38048732,36508651,Baricitinib,True,1,baricitinib 2 MG Oral Tablet [Olumiant] by Cc,False
366884,38048732,36509872,Baricitinib,True,1,baricitinib 4 MG Delayed Release Oral Tablet [Olumiant] by Kohlpharma,False
438920,535274723,36684820,Charlson - Cancer,True,1,Primary malignant neoplasm of axillary tail of right female breast,False
446400,376881697,36717006,Charlson - PVD,True,1,Intermittent claudication of bilateral lower limbs co-occurrent and due to atherosclerosis,False
446646,376881697,36717286,Charlson - PVD,True,1,Intermittent claudication of left lower limb co-occurrent and due to atherosclerosis,False
452372,38048732,36787578,Baricitinib,True,1,baricitinib 2 MG Delayed Release Oral Tablet [Olumiant] Box of 28,False
452379,38048732,36787583,Baricitinib,True,1,baricitinib 4 MG Delayed Release Oral Tablet [Olumiant] Box of 84 by Eli Lilly,False
452383,38048732,36787591,Baricitinib,True,1,baricitinib Delayed Release Oral Tablet,False
456091,697105949,36872669,[ISC] COVID-19 Vaccinations,False,1,"bnt162b2 original and omicron ba.4/ba.5 .1125mg/2.25mL INTRAMUSCULAR INJECTION, SUSPENSION",False
460152,697105949,36900251,[ISC] COVID-19 Vaccinations,False,1,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension [Comirnaty]",False
460159,339287218,36902202,paxlovid,False,1,PAXLOVID - nirmatrelvir and ritonavir kit,False
460386,96369749,37002795,Remdesivir (Injection route of admin; 5 mg minimum dosage),True,1,Veklury Injectable Product,False
460494,697105949,37003435,[ISC] COVID-19 Vaccinations,False,1,"SARS-CoV-2 (COVID-19) vaccine, mRNA spike protein Injectable Suspension",False
460501,697105949,37003517,[ISC] COVID-19 Vaccinations,False,1,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML",False
464000,489555336,37019108,Charlson - Paralysis,True,1,Human T-cell lymphotropic virus 1-associated myelopathy,False
464741,78746470,37109056,Charlson - Dementia,True,1,Vascular dementia without behavioral disturbance,False
479815,415149730,37206603,Kostka - ECMO,True,1,Venovenous extracorporeal membrane oxygenation,False
482596,697105949,37310256,[ISC] COVID-19 Vaccinations,False,1,SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination,False
482920,697105949,37311064,[ISC] COVID-19 Vaccinations,False,1,Administration of SARS-CoV-2 antigen vaccine,False
484813,376881697,37312529,Charlson - PVD,True,1,Intermittent claudication due to atherosclerosis of artery of limb,False
484818,376881697,37312531,Charlson - PVD,True,1,Gangrene of limb due to atherosclerosis of artery of limb,False
486957,38048732,37497355,Baricitinib,True,1,baricitinib 1 MG Oral Tablet [Olumiant],False
505082,489555336,40480514,Charlson - Paralysis,True,1,Incomplete tetraplegia due to lesion at C5-C7 level,False
505149,652711186,40480946,Charlson - Stroke,True,1,Monoplegia of nondominant lower limb as a late effect of cerebrovascular accident,False
505222,489555336,40481345,Charlson - Paralysis,True,1,Monoplegia of upper limb of dominant side,False
505261,535274723,40481357,Charlson - Cancer,True,1,Large cell lymphoma of intrapelvic lymph nodes,False
505405,489555336,40481757,Charlson - Paralysis,True,1,Flaccid hemiplegia of dominant side,False
505424,652711186,40481842,Charlson - Stroke,True,1,Monoplegia of upper limb as late effect of cerebrovascular disease,False
505473,535274723,40481901,Charlson - Cancer,True,1,Mantle cell lymphoma,False
506115,376881697,40484541,Charlson - PVD,True,1,Atherosclerosis of autologous vein bypass graft of limb,False
506664,618758765,40486624,N3C Mechanical Ventilation,True,1,Noninvasive positive pressure ventilation,False
509858,535274723,40650479,Charlson - Cancer,True,1,Primary malignant neoplasm of posterior wall of urinary bladder,False
523217,38048732,40743763,Baricitinib,True,1,baricitinib 4 MG Oral Tablet [Olumiant] Box of 84 by Eli Lilly,False
523219,38048732,40743767,Baricitinib,True,1,baricitinib 4 MG Oral Tablet [Olumiant] by Eli Lilly,False
762082,38048732,42875513,Baricitinib,True,1,baricitinib 2 MG Delayed Release Oral Tablet [Olumiant] Box of 98 by Cc,False
794404,652711186,43022059,Charlson - Stroke,True,1,Disease of non-coronary systemic artery,False
